Marca temporal,Indica tu ID,¿Te gustaría que terminase hoy el confinamiento?,Indica cuánto te gustan las clases virtuales (online),Indica cuánto te gustan las clases presenciales (en el instituto),¿Prefieres tener las clases virtuales en directo o prefieres que el profesor cuelgue el contenido en alguna plataforma y consultarlo cuando te apetezca o puedas?,¿Prefieres las clases presenciales e ir al instituto o prefieres las clases virtuales y quedarte en casa?,¿Los profesores están resolviendo tus dudas relacionadas con los contenidos de las diferentes asignaturas durante el confinamiento?,¿Tus profesores realizan un seguimiento individual de tu aprendizaje académico durante el confinamiento?,¿Tus profesores te motivan y animan a seguir  estudiando durante el confinamiento?,¿Crees que las tareas que te han mandado durnate el confinamiento están adaptadas razonablemente al tiempo de realización y entrega?,Indica el nivel de experiencia que tenías en clases online antes del confinamiento,¿Echas de menos el factor humano e interactuar con el profesor presencialmente en clase?,¿Echas de menos a tus compañeros de la clase?,¿Crees que durante el confinamiento estás aprendiendo más académicamente que cuando ibas al instituto?,¿Estas de acuerdo en que todos los alumnos pasen de curso salvo casos muy excepcionales debido al COVID-19?,¿Te resulta confuso que cada profesor use una plataforma o herramienta virtual diferente?,Indica que herramientas ha usado tu profesor DURANTE el confinamiento. Puedes seleccionar varias,Indica que herramientas ha usado tu profesor ANTES del confinamiento este curso académico. ,"Indica tu nivel de expriencia con PLATAFORMAS DE APRENDIZAJE (Moodle, Google Classroom...)","Indica tu nivel de expriencia con VIDEOCONFERENCIAS (Skype, Zoom, Google Hangouts, Discord...)","Indica tu nivel de expriencia con ARCHIVOS EN RED (Google Drive, OneDrive, Dropbox, Office365, Zoho, Wikispaces...)","Indica tu nivel de expriencia con HERRAMIENTAS OFIMÁTICAS (Word, PowerPoint, Excel, Google Docs, Openoffice...)","Indica tu nivel de expriencia con CHATS (Whatsapp, Telegram, Line, Tango, Viber...)","Indica tu nivel de experiencia con REDES SOCIALES (Facebook, Twitter, Instagram, Snapchat, Pinterest, TikTok...)",¿Te has sentido estresado/a esta semana?,¿Esta semana te has sentido más estresado/a que antes del confinamiento?,¿Te has sentido motivado/a para estudiar esta semana?,¿Esta semana te has sentido más motivado/a para estudiar que antes del confinamiento?,¿Cuánto tiempo has dedicado esta semana a tus estudios?,¿Estudiaste más o menos que antes del confinamiento?,¿Tus padres te han ayudado con tus deberes esta semana?,¿Te han ayudado con tus deberes esta semana más o menos que antes del confinamiento?,¿Cuánto tiempo has echo deporte esta semana?,¿Tus padres han trabajado esta semana?,¿A qué has dedicado esta semana la mayor parte del tiempo?,¿A qué han dedido tus padres la mayor parte del tiempo esta semana?,¿Cuántas personas estáis viviendo en casa durante el confinamiento? Incluyéndote a ti
17/04/2020 10:47:13,1113,7,4,5,6,2,6,2,5,3,3,6,1,3,1,6,"Google Classroom, moodle",moodle,7,6,6,6,6,6,5,2,2,4,6:00:00,5,1,4,4:00:00,Uno de ellos trabaja pero en casa y el otro no trabaja,Estudiar,Usar el móvil,3
17/04/2020 10:58:25,1117,5,3,2,3,3,7,7,6,4,1,4,1,2,6,6,"Google Classroom, moodle, Edmodo","Kahoot, moodle, Edmodo",7,6,6,6,7,6,5,1,3,3,11:00:00,3,1,4,2:00:00,"Sí, desde casa",Jugar a videojuegos,Estudiar,3
17/04/2020 11:37:36,119,7,5,5,7,5,4,4,4,5,7,6,1,5,7,1,"Google Classroom, Edmodo","Google Classroom, Edmodo",7,7,7,7,7,7,3,1,3,4,4:30:10,5,1,2,7:30:30,"Sí, pero uno en casa y otro fuera de casa","Series,móvil, portátil, televisión",Ver la televisión,4
17/04/2020 11:37:43,1127,7,5,5,7,5,4,4,4,5,7,6,1,5,7,1,"Google Classroom, Edmodo","Google Classroom, Edmodo",7,7,7,7,7,7,3,1,3,4,4:30:10,5,1,2,7:30:30,"Sí, pero uno en casa y otro fuera de casa","Series,móvil, portátil, televisión",Ver la televisión,4
17/04/2020 11:40:44,1121,7,6,5,5,1,7,2,7,5,6,5,2,1,7,1,Google Classroom,Google Classroom,7,5,6,7,6,6,1,3,7,4,2:00:00,5,1,1,2:00:00,Uno de ellos trabaja pero fuera de casa y el otro no trabaja,Usar el móvil,Trabajar,5
17/04/2020 12:33:18,116,7,2,4,7,2,3,2,2,1,2,6,4,1,5,7,"Google Classroom, moodle, Edmodo","moodle, Edmodo, Google Drive",6,5,7,7,7,7,7,7,1,1,10:00:00,1,1,1,0:00:00,No ha trabajado ninguno,Estudiar,Tareas de casa (como limpieza o cocinar),2
17/04/2020 13:08:19,1125,7,1,7,1,1,2,5,6,1,1,7,6,1,1,4,"Google Classroom, moodle, Edmodo, Dropbox","Google Classroom, Edmodo",6,1,6,7,6,6,7,7,3,3,40:00:00,3,3,6,2:00:00,"Sí, desde casa",Estudiar,cada uno ha estado aislado por covid-19 ,7
17/04/2020 14:09:08,114,5,1,6,1,1,1,1,1,1,2,7,1,1,1,7,"Google Classroom, Google Drive, Hangouts Meet",Google Classroom,5,4,6,6,7,7,7,7,1,1,25:00:00,1,1,4,1:00:00,"Sí, pero fuera de casa",Hacer todas las tareas,Trabajar,3
17/04/2020 15:09:55,1124,7,2,6,6,2,3,5,5,3,5,7,1,3,7,3,Google Classroom,"NINGUNA, Google Classroom",7,5,5,5,6,6,5,5,2,4,11:00:00,4,1,4,2:00:00,"Sí, pero uno en casa y otro fuera de casa",Usar el móvil,Tareas de casa (como limpieza o cocinar),6
17/04/2020 15:15:14,1110,6,2,7,1,1,4,2,3,1,5,7,1,2,3,7,"Google Classroom, moodle, Meet",moodle,4,4,1,4,6,6,6,6,3,1,40:00:00,3,2,4,2:00:00,Uno de ellos trabaja pero fuera de casa y el otro no trabaja,Usar el móvil,Ver la televisión,5
17/04/2020 15:43:56,1126,7,5,7,6,5,7,7,7,3,1,5,6,7,7,1,Google Classroom,Google Drive,2,3,5,3,6,7,3,5,5,1,2:00:00,4,1,1,0:30:00,Uno de ellos trabaja pero fuera de casa y el otro no trabaja,Ver la televisión,Tareas de casa (como limpieza o cocinar),3
17/04/2020 18:03:28,1114,7,1,7,7,1,3,6,4,3,1,7,1,1,1,4,Google Classroom,Google Drive,5,4,5,6,7,6,6,6,1,1,0:00:00,7,1,6,2:00:00,Uno de ellos trabaja pero en casa y el otro no trabaja,Tareas de casa (como limpieza o cocinar),Tareas de casa (como limpieza o cocinar),4
17/04/2020 22:06:58,1118,7,5,6,1,5,6,7,6,5,1,5,5,4,7,3,"Google Classroom, Google Drive, Youtube, Edpuzzle",Youtube,5,6,4,4,6,4,3,6,3,4,5:30:00,2,7,7,2:15:00,"Sí, pero uno en casa y otro fuera de casa",Hacer LEGOS ,Trabajar,5 con el perro
18/04/2020 13:47:05,118,4,5,1,7,7,6,2,7,5,5,6,1,5,1,7,"Google Classroom, Edmodo, hangouts","NINGUNA, Edmodo",7,6,3,5,6,7,3,4,7,7,54:26:48,5,4,4,2:30:44,Uno de ellos trabaja pero fuera de casa y el otro no trabaja,Usar el móvil,Tareas de casa (como limpieza o cocinar),4
18/04/2020 20:15:37,1115,6,4,6,2,3,7,7,7,4,2,6,1,5,3,2,"Google Classroom, moodle",gmail,7,6,3,5,6,7,3,5,4,4,15:00:00,3,2,4,9:00:00,"Sí, pero uno en casa y otro fuera de casa",Estudiar,Tareas de casa (como limpieza o cocinar),4
18/04/2020 22:37:27,117,2,3,5,1,2,7,1,2,3,1,1,5,3,7,1,"Google Classroom, moodle","Kahoot, Edmodo",7,7,1,7,7,7,7,7,2,5,15:00:00,5,1,1,4:00:00,Uno de ellos trabaja pero fuera de casa y el otro no trabaja,Estudiar,Ver la televisión,3
18/04/2020 22:40:34,1116,6,1,6,1,3,7,1,2,3,1,1,6,2,7,1,"Google Classroom, moodle","Edmodo, Google Drive",7,7,2,7,7,7,7,7,1,1,15:00:00,6,1,1,4:00:00,Uno de ellos trabaja pero fuera de casa y el otro no trabaja,Estudiar,Ver la televisión,3
19/04/2020 14:02:01,1123,7,5,3,7,5,6,4,6,4,4,6,1,2,7,3,"Google Classroom, Edmodo","Google Classroom, Edmodo",7,4,6,6,7,7,3,6,5,5,15:00:00,3,4,4,7:00:00,Uno de ellos trabaja pero fuera de casa y el otro no trabaja,Usar el móvil,Usar el móvil,2
19/04/2020 17:35:16,115,7,1,4,4,1,5,3,5,1,1,5,6,2,7,7,Google Classroom,NINGUNA,3,5,2,5,7,7,7,7,1,2,9:00:00,7,4,4,3:00:00,Uno de ellos trabaja pero fuera de casa y el otro no trabaja,Estudiar,Jugar con la familia,6
19/04/2020 18:35:19,112,7,1,5,7,1,6,7,5,4,5,7,2,1,7,7,"Google Classroom, Google Drive",Google Drive,6,4,7,7,7,7,7,5,1,1,2:30:00,1,1,1,1:00:00,No ha trabajado ninguno,Tareas de casa (como limpieza o cocinar),Usar el móvil,2
19/04/2020 18:47:13,111,7,4,5,6,2,6,2,5,3,3,6,1,3,1,6,"Google Classroom, moodle",moodle,7,6,6,6,6,6,5,2,2,4,6:00:00,5,1,4,4:00:00,Uno de ellos trabaja pero en casa y el otro no trabaja,Estudiar,Usar el móvil,3
19/04/2020 18:49:26,1119,7,4,6,5,1,4,2,2,2,1,7,1,2,1,7,"Google Classroom, Kahoot, Edmodo, Youtube, Gmail",NINGUNA,7,4,4,3,6,7,6,6,1,1,23:00:00,5,2,4,6:00:00,Uno de ellos trabaja pero fuera de casa y el otro no trabaja,Estudiar,Trabajar,5
19/04/2020 19:23:15,1128,7,5,1,7,7,5,3,5,4,6,6,1,6,7,7,"Google Classroom, Edmodo",Edmodo,7,6,4,6,7,7,3,2,7,7,12:30:00,3,3,5,2:00:00,Uno de ellos trabaja pero fuera de casa y el otro no trabaja,Usar el móvil,Tareas de casa (como limpieza o cocinar),4
19/04/2020 19:39:08,1112,5,1,6,1,1,1,1,1,1,2,7,1,1,1,7,"Google Classroom, Google Drive, Hangouts Meet",Google Classroom,5,4,6,6,7,7,7,7,1,1,25:00:00,1,1,4,1:00:00,"Sí, pero fuera de casa",Hacer todas las tareas,Trabajar,3
19/04/2020 19:41:17,113,7,1,7,1,1,1,1,1,1,2,7,1,1,1,7,"Google Classroom, Google Drive, Hangouts Meet",Google Classroom,5,4,6,6,7,7,7,7,1,1,25:00:00,1,1,4,1:00:00,"Sí, pero fuera de casa",Hacer todas las tareas,Trabajar,3
19/04/2020 20:33:18,1120,7,2,6,7,2,3,2,2,1,2,6,4,1,5,7,"Google Classroom, moodle, Edmodo","moodle, Edmodo, Google Drive",6,5,7,7,7,7,7,7,1,1,10:00:00,1,1,1,0:00:00,No ha trabajado ninguno,Estudiar,Tareas de casa (como limpieza o cocinar),2
19/04/2020 20:46:09,1122,5,3,5,2,3,3,2,2,1,2,6,4,1,5,7,"Google Classroom, moodle, Edmodo","moodle, Edmodo, Google Drive",6,5,7,7,7,7,7,7,1,1,10:00:00,1,1,1,0:00:00,No ha trabajado ninguno,Estudiar,Tareas de casa (como limpieza o cocinar),2
19/04/2020 20:58:36,1111,6,2,5,3,2,3,2,2,1,2,6,4,1,5,7,"Google Classroom, moodle, Edmodo","moodle, Edmodo, Google Drive",6,5,7,7,7,7,7,7,1,1,10:00:00,1,1,1,0:00:00,No ha trabajado ninguno,Estudiar,Tareas de casa (como limpieza o cocinar),2
19/04/2020 18:49:26,1130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Google Classroom, Kahoot, Edmodo, Youtube, Gmail",NINGUNA,1,1,1,1,1,1,1,1,1,1,23:00:00,1,1,1,6:00:00,Uno de ellos trabaja pero fuera de casa y el otro no trabaja,Estudiar,Trabajar,1
19/04/2020 19:23:15,1130,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"Google Classroom, Edmodo",Edmodo,2,2,2,2,2,2,2,2,2,2,12:30:00,2,2,2,2:00:00,Uno de ellos trabaja pero fuera de casa y el otro no trabaja,Usar el móvil,Tareas de casa (como limpieza o cocinar),3
19/04/2020 19:39:08,1130,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"Google Classroom, Google Drive, Hangouts Meet",Google Classroom,3,3,3,3,3,3,3,3,3,3,25:00:00,3,3,3,1:00:00,"Sí, pero fuera de casa",Hacer todas las tareas,Trabajar,3
19/04/2020 19:41:17,1130,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Google Classroom, Google Drive, Hangouts Meet",Google Classroom,4,4,4,4,4,4,4,4,4,4,25:00:00,4,4,4,1:00:00,"Sí, pero fuera de casa",Hacer todas las tareas,Trabajar,3
19/04/2020 20:33:18,1130,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Google Classroom, moodle, Edmodo","moodle, Edmodo, Google Drive",5,5,5,5,5,5,5,5,5,5,10:00:00,5,5,5,0:00:00,No ha trabajado ninguno,Estudiar,Tareas de casa (como limpieza o cocinar),2
19/04/2020 20:46:09,1130,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"Google Classroom, moodle, Edmodo","moodle, Edmodo, Google Drive",6,6,6,6,6,6,6,6,6,6,10:00:00,6,6,6,0:00:00,No ha trabajado ninguno,Estudiar,Tareas de casa (como limpieza o cocinar),2
19/04/2020 20:58:36,1130,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,"Google Classroom, moodle, Edmodo","moodle, Edmodo, Google Drive",7,7,7,7,7,7,7,7,7,7,10:00:00,7,7,7,0:00:00,No ha trabajado ninguno,Estudiar,Tareas de casa (como limpieza o cocinar),2