Marca temporal,Indica tu ID,¿Te gustaría que terminase hoy el confinamiento?,¿Estas de acuerdo en que todos los alumnos pasen de curso salvo casos muy excepcionales debido al COVID-19?,Indica cuánto te gusta que tu hijo/a tenga clases virtuales (online),Indica cuánto te gusta que tu hijo/a tenga clases presenciales (en el instituto),¿Prefieres que tu hijo/a tenga clases presenciales y vaya al instituto o prefieres que tenga clases virtuales y se quede en casa?,¿Crees que tu hijo/a está aprendiendo académicamente más durante el confinamiento que cuando iba al instituto?,¿Crees que tu hijo/a se ha sentido estresado/a esta semana?,¿Crees que se ha sentido más estresado/a que antes del confinamiento?,¿Crees que tu hijo/a se ha sentido motivado/a para estudiar esta semana?,¿Crees que se ha sentido más motivado/a para estudiar que antes del confinamiento?,¿Cuánto tiempo ha dedicado tu hijo/a esta semana a sus estudios?,¿Esta semana ha estudiado más o menos que antes del confinamiento?,¿Le habéis ayudado con sus deberes esta semana?,¿Le habéis ayudado con sus deberes más o menos que antes del confinamiento?,¿Cuánto tiempo ha echo deporte tu hijo/a esta semana?,¿Ambos padres habéis trabajado esta semana?,¿A qué dedica tu hijo/a la mayor parte del tiempo durante el confinamiento?,¿A qué dedicas la mayor parte del tiempo durante el confinamiento?,¿Cuántas personas estáis viviendo en casa durante el confinamiento? Incluyéndote a ti
17/04/2020 11:01:02,1217,6,3,6,7,1,1,1,1,2,3,9:00:10,3,1,4,3:00:00,"Sí, desde casa",Jugar a videojuegos,Tareas de casa (como limpieza o cocinar),3
17/04/2020 11:16:16,1219,7,1,4,7,4,3,7,5,1,1,15:00:00,7,7,7,0:00:00,Uno sigue trabajando pero fuera de casa y el otro no trabaja,Usar el móvil,Tareas de casa (como limpieza o cocinar),3
17/04/2020 12:35:27,126,5,5,1,6,1,1,7,5,1,1,10:00:00,1,1,1,0:00:00,No trabaja ninguno,Estudiar,Tareas de casa (como limpieza o cocinar),2
17/04/2020 14:00:29,1225,7,1,4,7,1,1,7,5,4,3,40:00:00,6,3,5,2:00:00,no estamos trabajando ya que nos encontramos en aislamiento,Estudiar,Tareas de casa (como limpieza o cocinar),1
17/04/2020 15:06:54,1210,7,7,7,7,4,1,7,5,4,4,40:00:00,7,4,5,5:00:00,Uno sigue trabajando pero en casa y el otro no trabaja,Usar el móvil,Ver la televisión,5
17/04/2020 15:16:42,1224,6,2,3,7,1,4,3,2,4,3,12:30:00,3,1,2,2:30:00,"Si, pero uno en casa y otro fuera de casa",Usar el móvil,Tareas de casa (como limpieza o cocinar),6
17/04/2020 17:56:59,1214,7,4,4,7,1,1,1,5,1,1,0:00:00,1,1,1,1:00:00,Uno sigue trabajando pero fuera de casa y el otro no trabaja,Tareas de casa (como limpieza o cocinar),Jugar con la familia,4
17/04/2020 19:47:31,1213,7,2,7,7,7,4,5,4,6,2,25:00:00,6,1,4,8:00:00,Uno sigue trabajando pero en casa y el otro no trabaja,Estudiar,Tareas de casa (como limpieza o cocinar),3
17/04/2020 21:52:07,1218,7,4,4,7,1,1,4,3,1,1,3:00:00,2,6,6,0:00:00,"Si, pero uno en casa y otro fuera de casa",Ver la televisión,"tareas de casa,  preparar tarea escolar para mis hijos(fotocopias, vídeos, preparar mi trabajo, etc.)",4
18/04/2020 20:46:32,1215,7,3,7,7,1,3,3,3,4,4,11:00:00,4,2,4,9:00:00,"Si, pero uno en casa y otro fuera de casa",Usar el móvil,Estudiar,4
19/04/2020 14:06:29,128,7,7,7,7,1,1,5,3,5,4,15:00:00,6,3,4,7:00:00,Uno sigue trabajando pero fuera de casa y el otro no trabaja,Usar el móvil,Usar el móvil,2
20/04/2020 11:15:38,129,5,7,4,6,1,4,2,3,5,7,4:30:00,7,2,4,7:30:30,"Si, pero uno en casa y otro fuera de casa","Móvil, televisión, series y deportes","A coger el móvil, ver la televisión y jugar con la familia",4
20/04/2020 11:38:04,122,7,7,3,7,1,3,7,4,1,1,3:00:00,3,1,1,1:00:00,No trabaja ninguno,Tareas de casa (como limpieza o cocinar),Usar el móvil,4
20/04/2020 15:57:54,1223,7,7,5,7,1,4,6,3,6,4,25:00:00,5,1,4,6:00:00,No trabaja ninguno,Estudiar,Tareas de casa (como limpieza o cocinar),3
20/04/2020 16:47:31,1227,5,5,7,7,1,3,3,3,4,4,11:00:00,4,2,4,9:00:00,"Si, pero uno en casa y otro fuera de casa",Usar el móvil,Estudiar,4
20/04/2020 17:46:32,125,6,2,7,7,7,4,5,4,6,2,25:00:00,6,1,4,8:00:00,Uno sigue trabajando pero en casa y el otro no trabaja,Estudiar,Tareas de casa (como limpieza o cocinar),3
20/04/2020 17:47:31,1226,5,5,7,7,1,3,3,3,4,4,11:00:00,4,2,4,9:00:00,"Si, pero uno en casa y otro fuera de casa",Usar el móvil,Estudiar,4
20/04/2020 18:11:12,127,7,2,7,7,1,1,1,1,2,3,9:00:10,3,1,4,3:00:00,"Sí, desde casa",Jugar a videojuegos,Tareas de casa (como limpieza o cocinar),3
20/04/2020 19:06:54,1211,6,6,7,7,4,1,7,5,4,4,40:00:00,7,4,5,5:00:00,Uno sigue trabajando pero en casa y el otro no trabaja,Usar el móvil,Ver la televisión,5
20/04/2020 19:46:32,1227,5,6,7,7,1,3,3,3,4,4,11:00:00,4,2,4,9:00:00,"Si, pero uno en casa y otro fuera de casa",Usar el móvil,Estudiar,4
20/04/2020 20:01:02,1216,7,2,6,7,1,1,1,1,2,3,9:00:10,3,1,4,3:00:00,"Sí, desde casa",Jugar a videojuegos,Tareas de casa (como limpieza o cocinar),3
20/04/2020 20:12:05,1222,6,3,5,7,1,1,1,1,2,3,9:00:10,3,1,4,3:00:00,"Sí, desde casa",Jugar a videojuegos,Tareas de casa (como limpieza o cocinar),3
20/04/2020 20:34:25,1220,7,3,6,7,1,1,1,1,2,3,9:00:10,3,1,4,3:00:00,"Sí, desde casa",Jugar a videojuegos,Tareas de casa (como limpieza o cocinar),3
20/04/2020 20:42:39,1228,5,7,7,7,1,3,3,3,4,4,11:00:00,4,2,4,9:00:00,"Si, pero uno en casa y otro fuera de casa",Usar el móvil,Estudiar,4
20/04/2020 18:11:12,127,1,1,1,1,1,1,1,1,1,1,9:00:10,1,1,1,3:00:00,"Sí, desde casa",Jugar a videojuegos,Tareas de casa (como limpieza o cocinar),3
20/04/2020 19:06:54,1211,2,2,2,2,2,2,2,2,2,2,40:00:00,2,2,2,5:00:00,Uno sigue trabajando pero en casa y el otro no trabaja,Usar el móvil,Ver la televisión,5
20/04/2020 19:46:32,1227,3,3,3,3,3,3,3,3,3,3,11:00:00,3,3,3,9:00:00,"Si, pero uno en casa y otro fuera de casa",Usar el móvil,Estudiar,4
20/04/2020 20:01:02,1216,4,4,4,4,4,4,4,4,4,4,9:00:10,4,4,4,3:00:00,"Sí, desde casa",Jugar a videojuegos,Tareas de casa (como limpieza o cocinar),3
20/04/2020 20:12:05,1222,5,5,5,5,5,5,5,5,5,5,9:00:10,5,5,5,3:00:00,"Sí, desde casa",Jugar a videojuegos,Tareas de casa (como limpieza o cocinar),3
20/04/2020 20:34:25,1220,6,6,6,6,6,6,6,6,6,6,9:00:10,6,6,6,3:00:00,"Sí, desde casa",Jugar a videojuegos,Tareas de casa (como limpieza o cocinar),3
20/04/2020 20:42:39,1228,7,7,7,7,7,7,7,7,7,7,11:00:00,7,7,7,9:00:00,"Si, pero uno en casa y otro fuera de casa",Usar el móvil,Estudiar,4