Marca temporal,Indica tu ID,¿Te gustaría que terminase hoy el confinamiento?,¿Estas de acuerdo en que todos los alumnos pasen de curso salvo casos muy excepcionales debido al COVID-19?,Indica cuánto te gustan las clases virtuales (online),Indica cuánto te gustan las clases presenciales (en el instituto),¿Echas de menos el factor humano e interactuar con tus alumnos presencialmente en clase?,¿Prefieres las clases presenciales e ir al instituto o prefieres las clases virtuales y quedarte en casa?,¿Estas resolviendo las dudas que te plantean los alumnos relacionadas con los contenidos de tu asignatura durante el confinamiento?,¿Estas realizando un seguimiento individual y personalizado de tus alumnos durante todo el confinamiento?,Indica el nivel de experiencia que tenías en impartir clases online antes del confinamiento,¿Crees que tus alumnos están aprendiendo académicamente más durante el confinamiento que cuando iban al instituto?,¿Cómo crees que está afectando el confinamiento al rendimiento académico de tus alumnos?,¿Crees que tus estudiantes se han sentido estresados esta semana?,¿Crees que tus estudiantes se han sentido más estresados que antes del confinamiento?,¿Crees que tus alumnos se han sentido motivados para estudiar esta semana?,¿Crees que se han sentido más motivados para estudiar esta semana que antes del confinamiento?,¿Cuánto tiempo has dedicado esta semana a la docencia?,¿Esta semana has dedicado más o menos tiempo a la docencia que la media semanal antes del confinamiento?,¿Te has sentido estresado/a esta semana?,¿Te has sentido más estresado/a esta semana que antes del confinamiento?,¿Te has sentido motivado/a para ejercer la docencia esta semana?,¿Te has sentido más motivado/a para ejercer la docencia que antes del confinamiento?,¿Cuánto tiempo has echo deporte esta semana?,Indica que herramientas has usado para la docencia DURANTE el confinamiento. Puedes seleccionar varias,Indica que herramientas has usado con tus alumnos ANTES del confinamiento este curso académico. ,"Indica tu nivel de competencia con PLATAFORMAS DE APRENDIZAJE (Moodle, Google Classroom...)","Indica tu nivel de competencia con VIDEOCONFERENCIAS (Skype, Zoom, Google Hangouts, Discord...)","Indica tu nivel de competencia con ARCHIVOS EN RED (Google Drive, OneDrive, Dropbox, Office365, Zoho, Wikispaces...)","Indica tu nivel de competencia con HERRAMIENTAS OFIMÁTICAS (Word, PowerPoint, Excel, Google Docs, Openoffice...)","Indica tu nivel de competencia con CHATS (Whatsapp, Telegram, Line, Tango, Viber...)","Indica tu nivel de competencia con REDES SOCIALES (Facebook, Twitter, Instagram, Snapchat, Pinterest, TikTok...)",¿Cuántas personas estáis viviendo en casa durante el confinamiento? Incluyéndote a ti,"Escribe tu opinión sobre la edución academica durante el confinamiento. Ej: por qué tus alumnos han podido estar estresados o desmotivados, por qué tu has podido estar estresado o desmotivado, qué opinas sobre las clases virtuales , qué opinas sobre las plataformas empleadas, qué opinas de la actuación del gobierno ante la educación, tu opinión sobre los medios de los que dispones para hacer todas las tareas académicas así como tu entorno..."
30/04/2020 13:15:29,137,4,2,3,6,6,3,6,6,1,4,3,4,5,4,3,21:00:00,5,5,5,6,4,6:30:00,"Google Classroom, Google Drive","NINGUNA, Youtube",2,2,2,3,6,4,3,Mi dificultad mayor a ser especialista en PT radica en que a veces el conectarme con los alumnos puede ser complicado y que mis alumnos tienen a desmotivarse con mas facilidad por lo que tengo que estar muy encima de ellos y eso durante el confinamiento es más complicado. En general están trabajando bien aunque hay algunos que se han quedado más descolgados. 
30/04/2020 21:59:47,131,7,2,5,7,7,1,7,7,3,2,2,6,6,6,3,28:00:00,4,7,7,5,2,0:00:00,"Google Classroom, Google Drive, Youtube, Edpuzzle","Kahoot, Padlet, Youtube",5,5,5,6,5,5,4,"Mi alumnado se ha estresado, sobre todo porque no saben trabajar autónomamente y porque a veces fallan las conexiones de Internet o las aplicaciones. Yo he estado estresada porque además de que el volumen de trabajo que tengo es mayor por tener que preparar material digital y corregir las actividades uno a uno también soy madre de familia y tengo que ayudar a mis hijos con sus tareas y encargarme de las tareas del hogar. "
2/05/2020 7:48:44,134,4,3,3,4,6,2,7,2,1,3,4,4,5,2,2,30:00:00,6,5,6,3,2,0:00:00,"Google Classroom, Google Drive, Dropbox",NINGUNA,5,4,5,5,4,1,2,"A la mayoría sólo les importa que les regalen el aprobado, y seguramente lo consegirán."
2/05/2020 13:02:26,132,7,7,1,6,7,1,7,7,1,4,3,4,5,4,3,35:50:00,5,7,7,4,1,5:30:00,"Google Classroom, Google Drive, Youtube, Correo, WhatsApp, meet",Youtube,1,2,2,2,3,5,5,"Es una situación absolutamente nueva para todos en la que nos hemos visto de pronto, sin ninguna posibilidad de adaptación previa"
2/05/2020 13:48:47,133,6,1,4,7,7,1,7,7,1,3,4,2,2,5,4,14:00:00,7,6,5,6,5,2:00:00,"Google Classroom, meet",NINGUNA,4,6,6,6,6,4,1,Nos hemos adaptado a la situación con nuestros propios medios.
3/05/2020 2:00:51,135,7,4,4,6,4,2,7,5,1,1,1,4,2,2,2,35:00:00,4,4,4,7,4,3:00:00,"Google Classroom, Google Drive, Youtube, Meet clasroom","Google Drive, Dropbox, Youtube",6,6,6,6,6,4,1,"Debido a las circunstancias, las clases para el alumnado no se pueden realizar de otra forma que no sea mediante clases virtuales online. Pero no se puede evaluar correctamente al alumnado a través de plataformas virtuales online. La única forma de evaluar correctamente al alumnado es de forma presencial"
3/05/2020 10:56:56,136,7,1,3,7,7,1,7,3,1,1,1,5,5,4,5,8:00:00,5,4,2,5,4,2:00:00,"Google Classroom, Google Drive, Youtube, Google Meet.","Google Classroom, Kahoot, Google Drive, Youtube",6,5,6,7,7,2,2,"Motivación del alumnado: el que trabajaba antes lo sigue haciendo, y el que no lo hacía antes tampoco lo hace ahora. Se pierde mucho margen de capacidad motivadora por parte del profesorado.
Estrés del profesorado: en mi caso ha sido elevado al inicio no tanto por no saber cómo dar clases online, si no por la incertidumbre acerca de la reanudación del curso y por la ausencia de directrices claras acerca de los criterios de calificación del tercer trimestre.
Clases virtuales: exactamente igual que el primer punto, quien trabajaba sigue atendiendo ahora, mientras que los que no lo hacían tampoco lo hacen ahora. No hay grandes cambios ni en la asistencia a clases online ni en las calificaciones de exámenes online realizados.
Actuación del Gobierno en materia educativa: un desastre. Permite promocionar a alumnos que no se lo merecen en absoluto, quitando capacidad decisoria al profesorado. El alumnado trabajador se siente desmotivado por la extensión del aprobado general a compañeros que no hacen absolutamente nada en el tercer trimestre, mientras que los que deben trabajar para aprobar ahora lo tienen extremadamente asequible. No se puede tomar la parte por el todo y actuar con todo el alumnado con las medidas que hay que aplicar al alumnado que sí tiene realmente problemas de acceso a Internet, esto hace que muchos presenten problemas de acceso falsos que obstaculizan su propio avance académico.
Medios a disposición para dar clases online: utilizo todos mis medios personales para dar clases (tablet, ordenador e Internet). "
30/04/2020 13:15:29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21:00:00,1,1,1,1,1,6:30:00,"Google Classroom, Google Drive","NINGUNA, Youtube",1,1,1,1,1,1,1,Mi dificultad mayor a ser especialista en PT radica en que a veces el conectarme con los alumnos puede ser complicado y que mis alumnos tienen a desmotivarse con mas facilidad por lo que tengo que estar muy encima de ellos y eso durante el confinamiento es más complicado. En general están trabajando bien aunque hay algunos que se han quedado más descolgados. 
30/04/2020 21:59:47,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28:00:00,2,2,2,2,2,0:00:00,"Google Classroom, Google Drive, Youtube, Edpuzzle","Kahoot, Padlet, Youtube",2,2,2,2,2,2,2,"Mi alumnado se ha estresado, sobre todo porque no saben trabajar autónomamente y porque a veces fallan las conexiones de Internet o las aplicaciones. Yo he estado estresada porque además de que el volumen de trabajo que tengo es mayor por tener que preparar material digital y corregir las actividades uno a uno también soy madre de familia y tengo que ayudar a mis hijos con sus tareas y encargarme de las tareas del hogar. "
2/05/2020 7:48:44,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,30:00:00,3,3,3,3,3,5:30:00,"Google Classroom, Google Drive, Dropbox",NINGUNA,3,3,3,3,3,3,3,"A la mayoría sólo les importa que les regalen el aprobado, y seguramente lo consegirán."
2/05/2020 13:02:26,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,35:50:00,4,4,4,4,4,5:30:00,"Google Classroom, Google Drive, Youtube, Correo, WhatsApp, meet",Youtube,4,4,4,4,4,4,4,"Es una situación absolutamente nueva para todos en la que nos hemos visto de pronto, sin ninguna posibilidad de adaptación previa"
2/05/2020 13:48:47,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14:00:00,5,5,5,5,5,2:00:00,"Google Classroom, meet",NINGUNA,5,5,5,5,5,5,5,Nos hemos adaptado a la situación con nuestros propios medios.
3/05/2020 2:00:51,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,35:00:00,6,6,6,6,6,3:00:00,"Google Classroom, Google Drive, Youtube, Meet clasroom","Google Drive, Dropbox, Youtube",6,6,6,6,6,6,6,"Debido a las circunstancias, las clases para el alumnado no se pueden realizar de otra forma que no sea mediante clases virtuales online. Pero no se puede evaluar correctamente al alumnado a través de plataformas virtuales online. La única forma de evaluar correctamente al alumnado es de forma presencial"
3/05/2020 10:56:56,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8:00:00,7,7,7,7,7,2:00:00,"Google Classroom, Google Drive, Youtube, Google Meet.","Google Classroom, Kahoot, Google Drive, Youtube",7,7,7,7,7,7,7,"Motivación del alumnado: el que trabajaba antes lo sigue haciendo, y el que no lo hacía antes tampoco lo hace ahora. Se pierde mucho margen de capacidad motivadora por parte del profesorado.
Estrés del profesorado: en mi caso ha sido elevado al inicio no tanto por no saber cómo dar clases online, si no por la incertidumbre acerca de la reanudación del curso y por la ausencia de directrices claras acerca de los criterios de calificación del tercer trimestre.
Clases virtuales: exactamente igual que el primer punto, quien trabajaba sigue atendiendo ahora, mientras que los que no lo hacían tampoco lo hacen ahora. No hay grandes cambios ni en la asistencia a clases online ni en las calificaciones de exámenes online realizados.
Actuación del Gobierno en materia educativa: un desastre. Permite promocionar a alumnos que no se lo merecen en absoluto, quitando capacidad decisoria al profesorado. El alumnado trabajador se siente desmotivado por la extensión del aprobado general a compañeros que no hacen absolutamente nada en el tercer trimestre, mientras que los que deben trabajar para aprobar ahora lo tienen extremadamente asequible. No se puede tomar la parte por el todo y actuar con todo el alumnado con las medidas que hay que aplicar al alumnado que sí tiene realmente problemas de acceso a Internet, esto hace que muchos presenten problemas de acceso falsos que obstaculizan su propio avance académico.
Medios a disposición para dar clases online: utilizo todos mis medios personales para dar clases (tablet, ordenador e Internet). "